Actual_Rewards,Predicted_Rewards
2.8003032286493976,-6.016599893569946
1.5089467215032364,-3.318699985742569
1.9638378481805017,-4.192000016570091
2.1615622425436833,-5.955900102853775
2.355015639586766,-5.253200024366379
2.2589956274328116,-5.57169996201992
2.3521221743643417,-4.111600026488304
2.5362560113278265,-6.325999945402145
2.1607495353955835,-4.14690001308918
2.0231211371214224,-3.606699973344803
1.5640425522554673,-4.029899954795837
2.0907862625572107,-3.455000028014183
2.0314473151469814,-4.976099938154221
1.6487461260733933,-4.39259997010231
2.3429725151330882,-5.490499958395958
2.4931063107515987,-4.760899975895882
2.142501636023894,-3.7314000129699707
2.096359273795062,-5.441900014877319
1.9672968980387415,-4.414499968290329
2.7096249888551283,-5.552699983119965
2.113216862329026,-3.634099990129471
2.5300308941376057,-4.972599983215332
1.992456274493144,-4.55840003490448
2.3027607670019643,-5.333700016140938
2.258409086041945,-4.500400021672249
2.4646500776808717,-5.730300009250641
2.36955510438311,-4.620599985122681
2.368711142924898,-5.602300018072128
1.9403457168754275,-3.8403999619185925
2.0065745165405846,-3.8378000408411026
2.0110167030125785,-4.850100040435791
2.8872227004322517,-5.011499911546707
1.7278520874424783,-3.3956999629735947
2.255275017387114,-4.981699988245964
1.9702830432643754,-5.014400094747543
2.191806595724916,-5.120000034570694
2.3752368165671958,-3.9010000079870224
1.9568387199653121,-5.960499942302704
1.652274321364239,-4.329699993133545
2.2640762116688578,-5.296700030565262
2.1039298114101435,-4.146800018846989
2.0247820985533647,-3.644899994134903
2.2805225767070487,-5.056099995970726
2.0437746716027276,-5.407200001180172
2.099819338009384,-4.127799935638905
1.860312439448761,-5.350799947977066
2.4879946759632925,-5.2218999564647675
2.052508365486813,-5.079899996519089
2.62393341905726,-5.469400033354759
2.015753533704274,-4.754099994897842
2.577166217014621,-3.824100077152252
2.5143478157016275,-4.924100041389465
2.0472318932548164,-5.154899939894676
2.4247266147900537,-4.7518999725580215
2.048006460446671,-3.734999969601631
