0.32066837 0.31476563 0.5590894 0.5087682 0.8210974 0.13037011 0.55802673 0.81072176 0.21288058 0.12819687 0.67210096 0.34823897 0.22721803 0.0017380124 0.92644984 0.73845184 0.5239881 0.5344982 0.878065 0.5636949 0.4781599 0.27175173 0.33788115 0.57052284 0.9360878 0.38325846 0.6814596 0.67741984 0.6691858 0.7848766 output (0, 10) (0, 4) (1, 8) (1, 5) (1, 13) (2, 5) (3, 14) (4, 6) (5, 10) (7, 9) (8, 11) (9, 12) (9, 13) (13, 14)
0.8944696 0.6053735 0.031063026 0.15749837 0.51216656 0.54643804 0.4283622 0.17177002 0.5638191 0.38600633 0.87172556 0.40252945 0.4514417 0.6800478 0.2009395 0.62466675 0.19751382 0.919151 0.0071229115 0.4452477 0.63028616 0.049819984 0.12693968 0.3619606 0.7180238 0.81684864 0.6920615 0.55691993 0.534181 0.38909128 output (0, 5) (0, 13) (1, 11) (2, 6) (2, 14) (2, 13) (3, 10) (3, 14) (4, 14) (6, 7) (7, 9) (7, 8) (9, 11) (12, 13)
0.26767716 0.27000397 0.0020345403 0.15949474 0.1104367 0.64573777 0.3439505 0.34535515 0.92595553 0.8819757 0.33593917 0.5178397 0.83729476 0.8726831 0.41829863 0.10850044 0.68357086 0.32330164 0.4701593 0.4826954 0.22929834 0.870335 0.31304628 0.6620279 0.6292669 0.92071295 0.6144982 0.5361488 0.005993535 0.32468003 output (0, 3) (0, 7) (0, 14) (1, 14) (2, 11) (3, 5) (4, 6) (5, 9) (5, 11) (6, 12) (8, 13) (9, 13) (10, 11) (12, 13)
0.92974603 0.057838075 0.5882653 0.9970793 0.8290767 0.66683525 0.3715618 0.42075416 0.09784021 0.47815725 0.111959435 0.64362144 0.74296564 0.17665528 0.67448765 0.26631194 0.6368594 0.013841739 0.26268977 0.8438128 0.94729364 0.0040546097 0.44622022 0.47492856 0.60179466 0.32993764 0.38044092 0.1458118 0.7640043 0.6090062 output (0, 10) (0, 6) (1, 9) (2, 14) (3, 11) (3, 13) (3, 4) (4, 5) (5, 9) (6, 7) (6, 8) (7, 12) (11, 12) (12, 14)
0.985312 0.44276345 0.8275427 0.10128282 0.65574 0.11947281 0.14437337 0.003749892 0.34399402 0.20764285 0.16696616 0.078358345 0.84103996 0.21253839 0.16527097 0.65368795 0.3741209 0.6111378 0.7816555 0.2817326 0.35288846 0.7072906 0.6390208 0.38357952 0.033071965 0.99958634 0.7716835 0.14470702 0.7163829 0.32962036 output (0, 9) (1, 13) (2, 13) (2, 4) (3, 5) (4, 5) (6, 9) (6, 13) (7, 10) (7, 12) (8, 10) (8, 11) (9, 14) (11, 14)
0.6849961 0.38141593 0.45973748 0.30931932 0.08893813 0.520197 0.095184594 0.4220674 0.9931806 0.67474633 0.25302637 0.48783955 0.052117858 0.7459486 0.19718428 0.2920583 0.52760464 0.45618814 0.06561493 0.804893 0.9775986 0.12098776 0.84252036 0.46954238 0.5879064 0.5368389 0.5652262 0.7880629 0.9829055 0.20128913 output (0, 8) (0, 11) (1, 8) (1, 7) (2, 3) (2, 5) (2, 6) (3, 7) (4, 11) (6, 9) (8, 12) (10, 14) (11, 14) (12, 13)
0.79377484 0.61974835 0.41596425 0.3340071 0.90423065 0.3786013 0.43139184 0.8772533 0.017139968 0.4724001 0.41390908 0.7377627 0.31105068 0.4081217 0.72173035 0.34041414 0.16066757 0.4648742 0.9878477 0.37496296 0.93640554 0.8313153 0.18244354 0.28949982 0.7021503 0.6231723 0.14450286 0.29446718 0.9885453 0.80767524 output (0, 12) (0, 10) (0, 2) (1, 6) (1, 7) (2, 9) (2, 7) (3, 5) (4, 8) (5, 12) (6, 8) (8, 13) (10, 14) (11, 13)
0.48225033 0.57152194 0.64492023 0.042788953 0.5731598 0.9195703 0.43285578 0.1565575 0.6134998 0.72011167 0.86999875 0.654046 0.07249029 0.54428184 0.9682185 0.5087801 0.91606367 0.98325 0.40242526 0.7492313 0.9742096 0.34220314 0.43592066 0.07120326 0.3340789 0.08222434 0.23353072 0.25402224 0.01214267 0.014713785 output (0, 9) (0, 4) (1, 11) (2, 4) (3, 11) (4, 5) (5, 7) (5, 8) (6, 13) (6, 9) (7, 10) (11, 12) (12, 13) (13, 14)
0.68443847 0.690533 0.5057294 0.89136493 0.73488927 0.5450827 0.5049597 0.7893569 0.44967416 0.73152924 0.5518794 0.8157525 0.5644356 0.20281969 0.096129045 0.9012927 0.002398655 0.7191479 0.37329784 0.13384953 0.50792634 0.43363085 0.43662784 0.16046387 0.51068676 0.89074725 0.35624292 0.7350832 0.5231723 0.4463792 output (0, 2) (0, 5) (1, 12) (2, 14) (3, 5) (3, 4) (4, 13) (5, 12) (6, 11) (6, 10) (7, 8) (7, 13) (9, 11) (10, 14)
0.41710335 0.8660636 0.009154719 0.26650798 0.27200422 0.47546676 0.17584655 0.70832306 0.52629143 0.63685805 0.49942845 0.1646136 0.3853871 0.442548 0.10911176 0.9604064 0.7437125 0.101787545 0.66057694 0.056913678 0.4194749 0.3327594 0.06909528 0.5212951 0.33223188 0.6548988 0.26377946 0.16203573 0.4958215 0.016612625 output (0, 12) (1, 11) (2, 6) (2, 12) (2, 11) (3, 12) (3, 7) (4, 12) (5, 14) (5, 10) (6, 10) (8, 9) (9, 14) (10, 13)
0.21119502 0.46314788 0.6872166 0.6507219 0.48299468 0.54564106 0.09556153 0.00016302828 0.1893807 0.30531636 0.02637217 0.24040025 0.7781793 0.38582873 0.73070025 0.99198276 0.38984093 0.7183062 0.7747834 0.4284354 0.33490843 0.12013777 0.27883744 0.31714544 0.8265253 0.3402901 0.93303084 0.54606515 0.51164764 0.9570705 output (0, 4) (0, 2) (1, 2) (1, 9) (2, 8) (3, 5) (4, 11) (4, 5) (6, 9) (6, 12) (7, 14) (8, 14) (9, 13) (10, 11)
0.3921317 0.1250096 0.919046 0.36918655 0.33525226 0.12981549 0.4126061 0.16310495 0.29426163 0.7262295 0.677529 0.96915174 0.9121531 0.7035671 0.111109294 0.6568529 0.6477683 0.4409739 0.5379984 0.64691603 0.7036128 0.94896376 0.61215013 0.82728374 0.644504 0.93715113 0.3077578 0.8158202 0.090267286 0.06636787 output (0, 3) (0, 2) (1, 8) (2, 14) (3, 8) (4, 13) (4, 7) (4, 9) (5, 10) (5, 12) (6, 10) (8, 9) (9, 11) (11, 12)
0.40212318 0.45083892 0.40504438 0.8117349 0.13966107 0.9985566 0.59865814 0.5289767 0.95517623 0.45901468 0.48559415 0.87223035 0.23285602 0.8869192 0.46278444 0.646458 0.8427624 0.46734038 0.10562424 0.39747676 0.6521712 0.8147489 0.9784023 0.040765654 0.08986805 0.8496616 0.46916187 0.5794345 0.124655254 0.78147966 output (0, 13) (0, 9) (1, 5) (1, 7) (1, 6) (2, 6) (3, 13) (3, 8) (4, 8) (4, 11) (5, 10) (6, 12) (7, 13) (12, 14)
0.41980824 0.58675015 0.8678752 0.82901806 0.011822358 0.041654836 0.2605755 0.15155058 0.16927792 0.87695116 0.64442104 0.21112505 0.82067406 0.7146214 0.46214998 0.27789867 0.36102897 0.012013878 0.4546033 0.68845516 0.017685818 0.20420659 0.44780818 0.345201 0.602574 0.39201146 0.49879575 0.9501386 0.21444112 0.0024395022 output (0, 9) (0, 11) (1, 6) (2, 10) (2, 14) (3, 14) (3, 7) (4, 13) (5, 12) (6, 9) (7, 11) (8, 14) (9, 13) (11, 12)
0.1817277 0.6002526 0.7056152 0.07439446 0.69900066 0.8486386 0.63015515 0.9272029 0.4408781 0.22149077 0.5511653 0.7797203 0.8629461 0.9940307 0.0014903095 0.87653065 0.91472757 0.19836637 0.27629334 0.5152784 0.4813415 0.84304553 0.7790417 0.8353792 0.98831946 0.9642322 0.027593544 0.33641136 0.7384571 0.81989634 output (0, 9) (0, 13) (0, 7) (1, 8) (1, 4) (2, 14) (2, 3) (2, 5) (4, 9) (5, 10) (5, 9) (6, 12) (6, 11) (11, 14)
0.80872643 0.31531316 0.94799256 0.535794 0.5226659 0.18348174 0.8745594 0.3825876 0.46157727 0.6444417 0.22395048 0.1484765 0.852131 0.90815735 0.7213039 0.6511148 0.69452816 0.4129922 0.03963027 0.25618753 0.11510244 0.4181199 0.6390427 0.058650404 0.088350914 0.1522574 0.21997945 0.25586987 0.059622128 0.30964696 output (0, 3) (0, 8) (1, 3) (2, 11) (2, 8) (2, 5) (4, 7) (5, 13) (5, 12) (6, 7) (7, 8) (9, 14) (9, 12) (10, 14)
0.09900077 0.9035577 0.5024532 0.42497942 0.19057234 0.044783253 0.30890206 0.40507957 0.8326779 0.5410711 0.5888397 0.9375587 0.54701495 0.8218358 0.9486593 0.38795322 0.73392683 0.82842416 0.2097407 0.9326494 0.44644326 0.63954574 0.717755 0.11502047 0.61119235 0.6959959 0.589807 0.6912214 0.064510174 0.6782955 output (0, 9) (0, 14) (1, 3) (1, 10) (2, 3) (4, 7) (4, 12) (5, 6) (6, 13) (6, 9) (7, 11) (8, 12) (10, 13) (12, 13)
0.63395065 0.4912282 0.5122389 0.68011355 0.81251264 0.027162427 0.66353315 0.31523183 0.8092265 0.74519557 0.10222966 0.8090562 0.39013264 0.6082708 0.472796 0.06809527 0.41779566 0.6134484 0.50430584 0.45405322 0.006542637 0.83290845 0.035675216 0.2219742 0.57828647 0.15961714 0.23599069 0.9261934 0.9330008 0.19419809 output (0, 9) (0, 3) (1, 8) (1, 4) (2, 14) (2, 12) (3, 12) (5, 10) (5, 13) (5, 6) (6, 8) (7, 12) (7, 11) (8, 9)
0.12107009 0.9154171 0.28840247 0.77066076 0.49790457 0.552699 0.5420882 0.6882241 0.6993634 0.6880253 0.68224096 0.7624715 0.47469574 0.63113654 0.7966112 0.7521766 0.026430877 0.09986854 0.0007817506 0.2359114 0.4607426 0.24732944 0.45242098 0.6285171 0.26397225 0.640438 0.55438244 0.14350377 0.15563154 0.9460347 output (0, 14) (1, 12) (1, 14) (2, 6) (2, 10) (3, 6) (3, 4) (4, 5) (5, 7) (6, 11) (8, 9) (8, 10) (10, 13) (11, 12)
0.11371081 0.8730357 0.16121149 0.70900875 0.65643615 0.046559222 0.9644475 0.2918783 0.5488287 0.12352564 0.012192864 0.42142758 0.4505784 0.27655178 0.0037767233 0.060872156 0.81921095 0.53752744 0.88327366 0.09755832 0.7590622 0.8449616 0.6727775 0.86822295 0.68868786 0.89556915 0.870691 0.17301826 0.5679694 0.9027024 output (0, 1) (1, 5) (1, 14) (2, 4) (2, 9) (3, 13) (3, 8) (4, 6) (5, 7) (8, 10) (9, 13) (10, 12) (11, 12) (11, 14)
0.9143152 0.25543195 0.21301931 0.28815818 0.70614475 0.009664049 0.73061454 0.01810237 0.33393046 0.69378996 0.29229972 0.31374228 0.5671856 0.23998807 0.388292 0.08343591 0.8300031 0.59768546 0.9652023 0.045157477 0.9325464 0.6567413 0.7249438 0.5105285 0.5321001 0.66487783 0.6143107 0.24671046 0.167522 0.29612988 output (0, 9) (1, 14) (1, 5) (2, 3) (2, 13) (3, 9) (4, 12) (5, 7) (6, 13) (6, 7) (8, 10) (8, 11) (11, 12) (11, 13)
0.28584442 0.81766236 0.78637344 0.15382403 0.5658489 0.2402612 0.7461696 0.6946538 0.17286545 0.41157198 0.05120847 0.91980255 0.7786618 0.46753985 0.07501244 0.8529423 0.07991588 0.42860693 0.4330882 0.89451206 0.441682 0.8523727 0.5102474 0.23526908 0.56144893 0.17543535 0.9492011 0.21300659 0.6041508 0.46407652 output (0, 10) (0, 7) (1, 13) (1, 12) (2, 11) (2, 12) (2, 14) (3, 6) (3, 10) (4, 8) (4, 11) (5, 7) (6, 14) (9, 10)
0.8349048 0.7739305 0.4471012 0.60843015 0.15082413 0.367157 0.19614509 0.68573195 0.7296067 0.96383756 0.24608763 0.8686787 0.7981121 0.45316744 0.45747948 0.41040772 0.91985637 0.6004823 0.3298933 0.50175875 0.39589223 0.35197154 0.0353224 0.24725723 0.012149571 0.4816967 0.35005078 0.57294124 0.060685314 0.43512294 output (0, 8) (0, 4) (1, 13) (2, 14) (2, 11) (2, 9) (3, 5) (3, 13) (6, 8) (6, 7) (7, 10) (7, 9) (9, 13) (12, 14)
0.42172495 0.93497276 0.45973307 0.90240103 0.612292 0.81169707 0.2934574 0.33570388 0.027329834 0.88140833 0.36490703 0.50646645 0.13432238 0.0854313 0.8316423 0.99962187 0.66103476 0.9559872 0.71770835 0.98956585 0.24046157 0.22107603 0.9907001 0.9936594 0.63862866 0.058038995 0.49544352 0.030250577 0.13277112 0.4850918 output (0, 1) (0, 4) (1, 2) (2, 8) (2, 5) (3, 10) (3, 5) (3, 14) (6, 10) (7, 9) (7, 11) (8, 9) (10, 13) (12, 13)
0.37965843 0.9336324 0.6674726 0.2495576 0.45951807 0.2652087 0.79623175 0.08337583 0.577001 0.42468208 0.26531467 0.8759994 0.61859936 0.7593494 0.8192839 0.9245009 0.90444934 0.77165323 0.5312843 0.021900235 0.698517 0.14661938 0.937826 0.64577264 0.32715082 0.55671877 0.9521416 0.8617461 0.25797057 0.6180556 output (0, 5) (0, 6) (1, 10) (1, 4) (2, 4) (3, 10) (4, 12) (5, 14) (6, 7) (7, 13) (8, 13) (8, 11) (9, 10) (12, 14)
