0.14192165 0.9466213 0.66804695 0.314715 0.018168071 0.68132424 0.8869598 0.32225662 0.20081653 0.14178249 output (0, 2) (1, 3) (1, 4) (2, 4)
0.8423495 0.26137415 0.18458731 0.10300683 0.035243876 0.6375235 0.73997027 0.4478859 0.47648716 0.50888026 output (0, 3) (1, 4) (2, 4) (3, 4)
0.9247671 0.13033065 0.5198014 0.98267835 0.6309561 0.92349595 0.30925083 0.22913723 0.39989185 0.1171934 output (0, 4) (1, 2) (2, 3) (3, 4)
0.49719235 0.5450202 0.024005301 0.2977939 0.75347126 0.7935946 0.046316348 0.80055785 0.19139518 0.9810435 output (0, 2) (0, 3) (1, 3) (3, 4)
0.6187075 0.80618715 0.5046708 0.013726611 0.080689415 0.38307723 0.8229246 0.3645882 0.0020228133 0.18037057 output (0, 3) (1, 3) (1, 4) (2, 4)
0.6762971 0.45677435 0.24362314 0.5141956 0.5143388 0.31186602 0.31680825 0.53241384 0.7023458 0.26934236 output (0, 4) (1, 3) (2, 4) (2, 3)
0.24781056 0.46416938 0.86611986 0.12559566 0.10645308 0.29582188 0.3956155 0.5529125 0.89917713 0.28275916 output (0, 3) (0, 2) (1, 4) (3, 4)
0.94961584 0.9865039 0.37896857 0.30203888 0.80906373 0.7470107 0.9078118 0.23993735 0.20995718 0.33538148 output (0, 2) (1, 4) (1, 3) (2, 3)
0.26357657 0.2623818 0.1540203 0.29908735 0.016750483 0.5383623 0.53047764 0.022350056 0.78651917 0.8694288 output (0, 1) (0, 3) (0, 4) (1, 2)
0.1368085 0.7781531 0.33183047 0.28771776 0.86279094 0.9363138 0.30931887 0.675364 0.56415707 0.7994933 output (0, 3) (1, 3) (2, 4) (3, 4)
0.4899051 0.45392263 0.3048428 0.19943729 0.17611533 0.5760837 0.11851184 0.7437067 0.8155576 0.49748847 output (0, 1) (0, 4) (0, 2) (2, 3)
0.2721131 0.8033319 0.19733381 0.41037428 0.069955505 0.20744972 0.029207373 0.64257085 0.37910408 0.9443137 output (0, 4) (0, 3) (1, 2) (1, 3)
0.249762 0.38060227 0.29484606 0.20265916 0.11351227 0.75938433 0.9508248 0.9493635 0.8716736 0.24801545 output (0, 1) (0, 2) (1, 4) (3, 4)
0.97502536 0.5889804 0.17400804 0.38330254 0.79606086 0.57227796 0.08168714 0.47168702 0.5330947 0.95510274 output (0, 2) (1, 3) (1, 2) (2, 4)
0.99946517 0.7849762 0.70513076 0.03624337 0.81759584 0.22563714 0.53083664 0.07135113 0.1950183 0.6836749 output (0, 2) (1, 3) (1, 2) (3, 4)
0.85875034 0.3995531 0.39543894 0.9378399 0.64543444 0.5788955 0.49214804 0.084505476 0.09878802 0.21383098 output (0, 2) (0, 3) (1, 2) (3, 4)
0.9577238 0.41076154 0.27427176 0.5994713 0.8740557 0.24327613 0.836919 0.3666456 0.94418526 0.6234022 output (0, 3) (0, 4) (1, 3) (2, 3)
0.33246586 0.21739036 0.6591599 0.47600052 0.90189826 0.35386783 0.8427957 0.5220242 0.8718758 0.51004696 output (0, 1) (1, 3) (2, 4) (3, 4)
0.15308441 0.5360383 0.96292496 0.91825134 3.328394e-05 0.45552588 0.047879294 0.9517725 0.27246287 0.5314981 output (0, 4) (0, 2) (0, 3) (1, 4)
0.5205295 0.13033238 0.8232247 0.05091318 0.011086069 0.0094363 0.55318713 0.068689965 0.3198911 0.62130004 output (0, 3) (0, 2) (0, 4) (1, 3)
0.9556523 0.81323725 0.3043946 0.7477022 0.056383558 0.62025976 0.6916293 0.9720717 0.6918378 0.19242044 output (0, 3) (0, 4) (1, 2) (1, 3)
0.28955117 0.38682064 0.08756406 0.6714086 0.44218576 0.9853005 0.6194256 0.41585404 0.73849916 0.027444845 output (0, 3) (0, 1) (1, 2) (3, 4)
0.8818603 0.7026072 0.66069007 0.3774917 0.29549757 0.6821866 0.8027793 0.18941766 0.02036639 0.44009095 output (0, 1) (1, 3) (1, 2) (2, 4)
0.18112658 0.28546762 0.14554754 0.35368407 0.050063763 0.83774376 0.89680165 0.051561885 0.47172967 0.46822953 output (0, 1) (0, 4) (1, 2) (3, 4)
0.4377683 0.8406278 0.7895935 0.3297091 0.50077426 0.27738008 0.40134063 0.9774051 0.46998832 0.029972889 output (0, 3) (0, 2) (1, 2) (2, 4)
0.23430486 0.25118622 0.45818853 0.18660976 0.84348863 0.62584543 0.8228709 0.6988813 0.7454267 0.4800503 output (0, 1) (1, 4) (2, 3) (2, 4)
0.6994244 0.89485055 0.66871834 0.1159779 0.075546294 0.3608021 0.5250415 0.5973451 0.9519192 0.10162599 output (0, 3) (1, 4) (1, 3) (2, 3)
0.47767496 0.85309297 0.17694464 0.025783775 0.40808114 0.96777964 0.5702934 0.9943622 0.85903203 0.1564728 output (0, 2) (0, 4) (1, 4) (2, 3)
0.00647516 0.9077494 0.7582728 0.60979474 0.9885889 0.21194832 0.993096 0.63677835 0.26322803 0.74957824 output (0, 4) (1, 3) (1, 4) (2, 3)
0.13562252 0.6138492 0.35062313 0.85973483 0.51300234 0.28253025 0.10957423 0.60729 0.6547556 0.4221987 output (0, 3) (0, 1) (0, 2) (2, 4)
0.16976142 0.2937387 0.36775547 0.33688828 0.9301477 0.82401127 0.57562 0.052537035 0.6403014 0.54901737 output (0, 1) (1, 4) (1, 3) (2, 4)
0.6416286 0.3777361 0.6340564 0.28793827 0.9318895 0.08986223 0.04002812 0.49132675 0.090493575 0.6907029 output (0, 1) (0, 3) (1, 2) (3, 4)
0.95126396 0.36756513 0.8249923 0.0058856057 0.104326725 0.8549575 0.95254 0.5059647 0.949472 0.23428948 output (0, 4) (0, 3) (1, 4) (2, 3)
0.8690999 0.34963924 0.48433563 0.7565777 0.54453003 0.8701946 0.23967065 0.7633623 0.3284648 0.9418592 output (0, 1) (1, 2) (2, 4) (3, 4)
0.6281373 0.44442746 0.3914698 0.23624061 0.9779337 0.14136712 0.6163314 0.16024165 0.6284859 0.4295324 output (0, 4) (1, 3) (2, 3) (3, 4)
0.20302504 0.55743015 0.26308653 0.6717024 0.22951163 0.92134297 0.9084798 0.81606007 0.43058866 0.6932486 output (0, 1) (1, 4) (1, 2) (3, 4)
0.28969562 0.08201157 0.17549522 0.619978 0.594797 0.7493532 0.48931578 0.2959532 0.2206389 0.5418005 output (0, 3) (1, 4) (2, 4) (3, 4)
0.62899786 0.13595305 0.24549773 0.90395606 0.14162424 0.06109897 0.634945 0.6430348 0.3745463 0.5530791 output (0, 4) (0, 2) (1, 4) (3, 4)
0.7845685 0.5262719 0.07854459 0.17290269 0.7294041 0.24946348 0.8287561 0.90563005 0.015488876 0.3565738 output (0, 2) (0, 3) (1, 4) (1, 2)
0.18212149 0.15962595 0.15726756 0.9292204 0.26952544 0.20063482 0.94110596 0.7068656 0.37947306 0.5384251 output (0, 2) (1, 4) (2, 4) (3, 4)
0.42668727 0.17331773 0.3342406 0.53214365 0.9619641 0.07758156 0.8252518 0.029914208 0.116632104 0.115710676 output (0, 4) (0, 1) (0, 3) (2, 3)
0.50405526 0.9233579 0.3527843 0.89083385 0.78325987 0.567634 0.08322398 0.7028783 0.7587006 0.07739296 output (0, 1) (0, 2) (1, 3) (2, 4)
0.16458721 0.22294003 0.07867427 0.3917232 0.4084843 0.3220148 0.8479977 0.65035266 0.33164403 0.90084547 output (0, 1) (0, 2) (1, 4) (2, 3)
0.52340037 0.45659494 0.63061696 0.65925574 0.5981968 0.39344937 0.24584319 0.012566646 0.24166588 0.9041377 output (0, 2) (0, 1) (1, 4) (2, 3)
0.09086581 0.111216344 0.7229079 0.87599057 0.27572218 0.4388977 0.7996658 0.8304421 0.6359872 0.6059234 output (0, 2) (1, 3) (2, 4) (3, 4)
0.3657913 0.28233665 0.12798189 0.78558534 0.07267432 0.91575634 0.57693493 0.90890616 0.26156762 0.22667794 output (0, 4) (0, 1) (1, 2) (1, 3)
0.2774327 0.25661203 0.60797787 0.101533316 0.70532876 0.3299704 0.4777281 0.3650242 0.6909281 0.51147467 output (0, 3) (1, 2) (2, 4) (2, 3)
0.6661661 0.05112067 0.72718775 0.74966717 0.38141814 0.59125775 0.03237792 0.6668408 0.5399539 0.8002697 output (0, 2) (1, 4) (2, 4) (2, 3)
0.57405984 0.463459 0.96083397 0.97869295 0.9715607 0.84773237 0.36697856 0.19116141 0.62644655 0.99685234 output (0, 3) (0, 4) (1, 2) (1, 4)
0.7048731 0.7165693 0.8141459 0.18844013 0.58092767 0.878072 0.054820668 0.8380952 0.73782146 0.8223091 output (0, 4) (0, 1) (2, 4) (2, 3)
0.0912292 0.8437631 0.44386175 0.034691125 0.009040006 0.7604805 0.8479784 0.06716485 0.5584873 0.03584829 output (0, 2) (1, 4) (1, 2) (3, 4)
0.14108099 0.35100845 0.22048801 0.95504624 0.1609342 0.58124083 0.7253461 0.59112257 0.19335356 0.3546303 output (0, 4) (1, 2) (2, 4) (2, 3)
0.8840896 0.9180323 0.3488794 0.27923656 0.88847035 0.88392967 0.08950701 0.2080669 0.5398704 0.98410124 output (0, 2) (0, 4) (1, 3) (1, 4)
0.80033255 0.70514596 0.36715394 0.54467493 0.509474 0.6938631 0.9645589 0.5518894 0.7301337 0.25567284 output (0, 3) (0, 2) (1, 2) (3, 4)
0.6184824 0.84578544 0.74898183 0.4169798 0.14670545 0.8499211 0.5803065 0.74772763 0.865764 0.0031620588 output (0, 3) (1, 3) (1, 4) (2, 3)
0.10971282 0.31862128 0.55983347 0.018622007 0.41431627 0.11300332 0.27117738 0.37086853 0.7958749 0.6310851 output (0, 3) (1, 2) (2, 3) (3, 4)
0.44990858 0.18084392 0.3823706 0.43382767 0.86807626 0.9080512 0.29631615 0.38794696 0.39453062 0.6371462 output (0, 3) (1, 3) (1, 4) (2, 4)
0.066534996 0.23349635 0.9701051 0.10330388 0.18949187 0.3985057 0.5897434 0.28018197 0.8291124 0.3974125 output (0, 2) (1, 4) (2, 3) (3, 4)
